Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
ACCESS CONTROL;AC-2 (8);DYNAMIC ACCOUNT CREATION;P1;HIGH;The information system creates [Assignment: organization-defined information system accounts] dynamically.;Dynamic approaches for creating information system accounts (e.g., as implemented within service-oriented architectures) rely on establishing accounts (identities) at run time for entities that were previously unknown. Organizations plan for dynamic creation of information system accounts by establishing trust relationships and mechanisms with the appropriate authorities to validate related authorizations and privileges.;AC-16
ACCESS CONTROL;AC-2 (9);RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS;P1;HIGH;The organization only permits the use of shared/group accounts that meet [Assignment: organization-defined conditions for establishing shared/group accounts].;NaN;NaN
ACCESS CONTROL;AC-2 (10);SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION;P1;HIGH;The information system terminates shared/group account credentials when members leave the group.;NaN;NaN
ACCESS CONTROL;AC-2 (11);USAGE CONDITIONS;P1;HIGH;The information system enforces [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined information system accounts].;NaN;NaN
ACCESS CONTROL;AC-2 (12);ACCOUNT MONITORING / ATYPICAL USAGE;P1;HIGH;The organization: Monitors information system accounts for [Assignment: organization-defined atypical usage], and Reports atypical usage of information system accounts to [Assignment: organization-defined personnel or roles].;Atypical usage includes, for example, accessing information systems at certain times of the day and from locations that are not consistent with the normal usage patterns of individuals working in organizations.;CA-7
ACCESS CONTROL;AC-2 (13);DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS;P1;HIGH;The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.;Users posing a significant risk to organizations include individuals for whom reliable evidence or intelligence indicates either the intention to use authorized access to information systems to cause harm or through whom adversaries will cause harm. Harm includes potential adverse impacts to organizational operations and assets, individuals, other organizations, or the Nation. Close coordination between authorizing officials, information system administrators, and human resource managers is essential in order for timely execution of this control enhancement.;PS-4
ACCESS CONTROL;AC-3;ACCESS ENFORCEMENT;P1;LOW,MODERATE,HIGH;The information system enforces approved authorizations for logical access to information           and system resources in accordance with applicable access control policies.;Access control policies (e.g., identity-based policies, role-based policies, control matrices, cryptography) control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (e.g., devices, files, records, domains) in information systems. In addition to enforcing authorized access at the information system level and recognizing that information systems can host many applications and services in support of organizational missions and business operations, access enforcement mechanisms can also be employed at the application and service level to provide increased information security.;AC-2,AC-4,AC-5,AC-6,AC-16,AC-17,AC-18,AC-19,AC-20,AC-21,AC-22,AU-9,CM-5,CM-6,CM-11,MA-3,MA-4,MA-5,PE-3
ACCESS CONTROL;AC-3 (1);RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into AC-6].;NaN;NaN
ACCESS CONTROL;AC-3 (2);DUAL AUTHORIZATION;P1;LOW,MODERATE,HIGH;The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].;Dual authorization mechanisms require the approval of two authorized individuals in order to execute. Organizations do not require dual authorization mechanisms when immediate responses are necessary to ensure public and environmental safety. Dual authorization may also be known as two-person control.;CP-9,MP-6
ACCESS CONTROL;AC-3 (3);MANDATORY ACCESS CONTROL;P1;LOW,MODERATE,HIGH;The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy: Is uniformly enforced across all subjects and objects within the boundary of the information system, Specifies that a subject that has been granted access to information is constrained from doing any of the following, Passing the information to unauthorized subjects or objects, Granting its privileges to other subjects, Changing one or more security attributes on subjects, objects, the information system, or information system components, Choosing the security attributes and attribute values to be associated with newly created or modified objects, or Changing the rules governing access control, and Specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges (i.e., they are trusted subjects)] such that they are not limited by some or all of the above constraints.;Mandatory access control as defined in this control enhancement is synonymous with nondiscretionary access control, and is not constrained only to certain historical uses (e.g., implementations using the Bell-LaPadula Model). The above class of mandatory access control policies constrains what actions subjects can take with information obtained from data objects for which they have already been granted access, thus preventing the subjects from passing the information to unauthorized subjects and objects. This class of mandatory access control policies also constrains what actions subjects can take with respect to the propagation of access control privileges, that is, a subject with a privilege cannot pass that privilege to other subjects. The policy is uniformly enforced over all subjects and objects to which the information system has control. Otherwise, the access control policy can be circumvented. This enforcement typically is provided via an implementation that meets the reference monitor concept (see AC-25). The policy is bounded by the information system boundary (i.e., once the information is passed outside of the control of the system, additional means may be required to ensure that the constraints on the information remain in effect). The trusted subjects described above are granted privileges consistent with the concept of least privilege (see AC-6). Trusted subjects are only given the minimum privileges relative to the above policy necessary for satisfying organizational mission/business needs. The control is most applicable when there is some policy mandate (e.g., law, Executive Order, directive, or regulation) that establishes a policy regarding access to sensitive/classified information and some users of the information system are not authorized access to all sensitive/classified information resident in the information system. This control can operate in conjunction with AC-3 (4). A subject that is constrained in its operation by policies governed by this control is still able to operate under the less rigorous constraints of AC-3 (4), but policies governed by this control take precedence over the less rigorous constraints of AC-3 (4). For example, while a mandatory access control policy imposes a constraint preventing a subject from passing information to another subject operating at a different sensitivity label, AC-3 (4) permits the subject to pass the information to any subject with the same sensitivity label as the subject.;AC-25,SC-11
ACCESS CONTROL;AC-3 (4);DISCRETIONARY ACCESS CONTROL;P1;LOW,MODERATE,HIGH;The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can do one or more of the following: Pass the  information to any other subjects or objects, Grant its privileges to other subjects, Change security attributes on subjects, objects, the information system, or the information systemï¿½s components, Choose the security attributes to be associated with newly created or revised objects, or Change the rules governing access control.;NaN;NaN
ACCESS CONTROL;AC-3 (5);SECURITY-RELEVANT INFORMATION;P1;LOW,MODERATE,HIGH;The information system prevents access to [Assignment: organization-defined security-relevant information] except during secure, non-operable system states.;Security-relevant information is any information within information systems that can potentially impact the operation of security functions or the provision of security services in a manner that could result in failure to enforce system security policies or maintain the isolation of code and data. Security-relevant information includes, for example, filtering rules for routers/firewalls, cryptographic key management information, configuration parameters for security services, and access control lists. Secure, non-operable system states include the times in which information systems are not performing mission/business-related processing (e.g., the system is off-line for maintenance, troubleshooting, boot-up, shut down).;CM-3
ACCESS CONTROL;AC-3 (6);PROTECTION OF USER AND SYSTEM INFORMATION;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into MP-4 and SC-28].;NaN;NaN
ACCESS CONTROL;AC-3 (7);ROLE-BASED ACCESS CONTROL;P1;LOW,MODERATE,HIGH;The information system enforces a role-based access control policy over defined subjects and objects and controls access based upon [Assignment: organization-defined roles and users authorized to assume such roles].;NaN;NaN
ACCESS CONTROL;AC-3 (8);REVOCATION OF ACCESS AUTHORIZATIONS;P1;LOW,MODERATE,HIGH;The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations].;NaN;NaN
ACCESS CONTROL;AC-3 (9);CONTROLLED RELEASE;P1;LOW,MODERATE,HIGH;The information system does not release information outside of the established system boundary unless: The receiving [Assignment: organization-defined information system or system component] provides [Assignment: organization-defined security safeguards], and [Assignment: organization-defined security safeguards] are used to validate the appropriateness of the information designated for release.;NaN;NaN
ACCESS CONTROL;AC-3 (10);AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS;P1;LOW,MODERATE,HIGH;The organization employs an audited override of automated access control mechanisms under [Assignment: organization-defined conditions].;NaN;AU-2,AU-6
ACCESS CONTROL;AC-4;INFORMATION FLOW ENFORCEMENT;P1;MODERATE,HIGH;The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].;Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that information. Flow control restrictions include, for example, keeping export-controlled information from being transmitted in the clear to the Internet, blocking outside traffic that claims to be from within the organization, restricting web requests to the Internet that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between information systems representing different security domains with different security policies introduces risk that such transfers violate one or more domain security policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between interconnected systems. Organizations consider mandating specific architectural solutions when required to enforce specific security policies. Enforcement includes, for example: (i) prohibiting information transfers between interconnected systems (i.e., allowing access only), (ii) employing hardware mechanisms to enforce one-way information flows, and (iii) implementing trustworthy regrading mechanisms to reassign security attributes and security labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations (e.g., networks, individuals, and devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices (e.g., gateways, routers, guards, encrypted tunnels, firewalls) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics). Organizations also consider the trustworthiness of filtering/inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 22 primarily address cross-domain solution needs which focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, for example, high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf information technology products.;AC-3,AC-17,AC-19,AC-21,CM-6,CM-7,SA-8,SC-2,SC-5,SC-7,SC-18
ACCESS CONTROL;AC-4 (1);OBJECT SECURITY ATTRIBUTES;P1;MODERATE,HIGH;The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.;Information flow enforcement mechanisms compare security attributes associated with information (data content and data structure) and source/destination objects, and respond appropriately (e.g., block, quarantine, alert administrator) when the mechanisms encounter information flows not explicitly allowed by information flow policies. For example, an information object labeled Secret would be allowed to flow to a destination object labeled Secret, but an information object labeled Top Secret would not be allowed to flow to a destination object labeled Secret. Security attributes can also include, for example, source and destination addresses employed in traffic filter firewalls. Flow enforcement using explicit security attributes can be used, for example, to control the release of certain types of information.;AC-16
ACCESS CONTROL;AC-4 (2);PROCESSING DOMAINS;P1;MODERATE,HIGH;The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.;NaN;NaN
ACCESS CONTROL;AC-4 (3);DYNAMIC INFORMATION FLOW CONTROL;P1;MODERATE,HIGH;The information system enforces dynamic information flow control based on [Assignment: organization-defined policies].;Organizational policies regarding dynamic information flow control include, for example, allowing or disallowing information flows based on changing conditions or mission/operational considerations. Changing conditions include, for example, changes in organizational risk tolerance due to changes in the immediacy of mission/business needs, changes in the threat environment, and detection of potentially harmful or adverse events.;SI-4
ACCESS CONTROL;AC-4 (4);CONTENT CHECK ENCRYPTED INFORMATION;P1;MODERATE,HIGH;The information system prevents encrypted information from bypassing content-checking mechanisms by [Selection (one or more): decrypting the information, blocking the flow of the encrypted information, terminating communications sessions attempting to pass encrypted information, [Assignment: organization-defined procedure or method]].;NaN;SI-4
ACCESS CONTROL;AC-4 (5);EMBEDDED DATA TYPES;P1;MODERATE,HIGH;The information system enforces [Assignment: organization-defined limitations] on embedding data types within other data types.;NaN;NaN
ACCESS CONTROL;AC-4 (6);METADATA;P1;MODERATE,HIGH;The information system enforces information flow control based on [Assignment: organization-defined metadata].;Metadata is information used to describe the characteristics of data. Metadata can include structural metadata describing data structures (e.g., data format, syntax, and semantics) or descriptive metadata describing data contents (e.g., age, location, telephone number). Enforcing allowed information flows based on metadata enables simpler and more effective flow control. Organizations consider the trustworthiness of metadata with regard to data accuracy (i.e., knowledge that the metadata values are correct with respect to the data), data integrity (i.e., protecting against unauthorized changes to metadata tags), and the binding of metadata to the data payload (i.e., ensuring sufficiently strong binding techniques with appropriate levels of assurance).;AC-16,SI-7
ACCESS CONTROL;AC-4 (7);ONE-WAY FLOW MECHANISMS;P1;MODERATE,HIGH;The information system enforces [Assignment: organization-defined one-way information flows] using hardware mechanisms.;NaN;NaN
ACCESS CONTROL;AC-4 (8);SECURITY POLICY FILTERS;P1;MODERATE,HIGH;The information system enforces information flow control using [Assignment: organization-defined security policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows].;NaN;NaN
ACCESS CONTROL;AC-4 (9);HUMAN REVIEWS;P1;MODERATE,HIGH;The information system enforces the use of human reviews for [Assignment: organization-defined information flows] under the following conditions: [Assignment: organization-defined conditions].;NaN;NaN
ACCESS CONTROL;AC-4 (10);ENABLE / DISABLE SECURITY POLICY FILTERS;P1;MODERATE,HIGH;The information system provides the capability for privileged administrators to enable/disable [Assignment: organization-defined security policy filters] under the following conditions: [Assignment: organization-defined conditions].;NaN;NaN
ACCESS CONTROL;AC-4 (11);CONFIGURATION OF SECURITY POLICY FILTERS;P1;MODERATE,HIGH;The information system provides the capability for privileged administrators to configure [Assignment: organization-defined security policy filters] to support different security policies.;NaN;NaN
ACCESS CONTROL;AC-4 (12);DATA TYPE IDENTIFIERS;P1;MODERATE,HIGH;The information system, when transferring information between different security domains, uses [Assignment: organization-defined data type identifiers] to validate data essential for information flow decisions.;NaN;NaN
ACCESS CONTROL;AC-4 (13);DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS;P1;MODERATE,HIGH;The information system, when transferring information between different security domains, decomposes information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.;NaN;NaN
ACCESS CONTROL;AC-4 (14);SECURITY POLICY FILTER CONSTRAINTS;P1;MODERATE,HIGH;The information system, when transferring information between different security domains, implements [Assignment: organization-defined security policy filters] requiring fully enumerated formats that restrict data structure and content.;NaN;NaN
ACCESS CONTROL;AC-4 (15);DETECTION OF UNSANCTIONED INFORMATION;P1;MODERATE,HIGH;The information system, when transferring information between different security domains, examines the information for the presence of [Assignment: organized-defined unsanctioned information] and prohibits the transfer of such information in accordance with the [Assignment: organization-defined security policy].;Detection of unsanctioned information includes, for example, checking all information to be transferred for malicious code and dirty words.;SI-3
ACCESS CONTROL;AC-4 (16);INFORMATION TRANSFERS ON INTERCONNECTED SYSTEMS;P1;MODERATE,HIGH;[Withdrawn: Incorporated into AC-4].;NaN;NaN
ACCESS CONTROL;AC-4 (17);DOMAIN AUTHENTICATION;P1;MODERATE,HIGH;The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization, system, application, individual] for information transfer.;Attribution is a critical component of a security concept of operations. The ability to identify source and destination points for information flowing in information systems, allows the forensic reconstruction of events when required, and encourages policy compliance by attributing policy violations to specific organizations/individuals. Successful domain authentication requires that information system labels distinguish among systems, organizations, and individuals involved in preparing, sending, receiving, or disseminating information.;IA-2,IA-3,IA-4,IA-5
ACCESS CONTROL;AC-4 (18);SECURITY ATTRIBUTE BINDING;P1;MODERATE,HIGH;The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.;Binding techniques implemented by information systems affect the strength of security attribute binding to information. Binding strength and the assurance associated with binding techniques play an important part in the trust organizations have in the information flow enforcement process. The binding techniques affect the number and degree of additional reviews required by organizations.;AC-16,SC-16
ACCESS CONTROL;AC-4 (19);VALIDATION OF METADATA;P1;MODERATE,HIGH;The information system, when transferring information between different security domains, applies the same security policy filtering to metadata as it applies to data payloads.;NaN;NaN
ACCESS CONTROL;AC-4 (20);APPROVED SOLUTIONS;P1;MODERATE,HIGH;The organization employs [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment: organization-defined information] across security domains.;NaN;NaN
ACCESS CONTROL;AC-4 (21);PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS;P1;MODERATE,HIGH;The information system separates information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].;NaN;NaN
ACCESS CONTROL;AC-4 (22);ACCESS ONLY;P1;MODERATE,HIGH;The information system provides access from a single device to computing platforms, applications, or data residing on multiple different security domains, while preventing any information flow between the different security domains.;NaN;NaN
ACCESS CONTROL;AC-5;SEPARATION OF DUTIES;P1;MODERATE,HIGH;The organization: Separates [Assignment: organization-defined duties of individuals], Documents separation of duties of individuals, and Defines information system access authorizations to support separation of duties.;Separation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes, for example: (i) dividing mission functions and information system support functions among different individuals and/or roles, (ii) conducting information system support functions with different individuals (e.g., system management, programming, configuration management, quality assurance and testing, and network security), and (iii) ensuring security personnel administering access control functions do not also administer audit functions.;AC-3,AC-6,PE-3,PE-4,PS-2
ACCESS CONTROL;AC-6;LEAST PRIVILEGE;P1;MODERATE,HIGH;The organization employs the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.;Organizations employ least privilege for specific duties and information systems. The principle of least privilege is also applied to information system processes, ensuring that the processes operate at privilege levels no higher than necessary to accomplish required organizational missions/business functions. Organizations consider the creation of additional processes, roles, and information system accounts as necessary, to achieve least privilege. Organizations also apply least privilege to the development, implementation, and operation of organizational information systems.;AC-2,AC-3,AC-5,CM-6,CM-7,PL-2
ACCESS CONTROL;AC-6 (1);AUTHORIZE ACCESS TO SECURITY FUNCTIONS;P1;MODERATE,HIGH;The organization explicitly authorizes access to [Assignment: organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information].;Security functions include, for example, establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters. Security-relevant information includes, for example, filtering rules for routers/firewalls, cryptographic key management information, configuration parameters for security services, and access control lists. Explicitly authorized personnel include, for example, security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users.;AC-17,AC-18,AC-19
ACCESS CONTROL;AC-6 (2);NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS;P1;MODERATE,HIGH;The organization requires that users of information system accounts, or roles, with access to [Assignment: organization-defined security functions or security-relevant information], use non-privileged accounts or roles, when accessing nonsecurity functions.;This control enhancement limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies such as role-based access control and where a change of role provides the same degree of assurance in the change of access authorizations for both the user and all processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account.;PL-4
ACCESS CONTROL;AC-6 (3);NETWORK ACCESS TO PRIVILEGED COMMANDS;P1;HIGH;The organization authorizes network access to [Assignment: organization-defined privileged commands] only for [Assignment: organization-defined compelling operational needs] and documents the rationale for such access in the security plan for the information system.;Network access is any access across a network connection in lieu of local access (i.e., user being physically present at the device).;AC-17
ACCESS CONTROL;AC-6 (4);SEPARATE PROCESSING DOMAINS;P1;HIGH;The information system provides separate processing domains to enable finer-grained allocation of user privileges.;Providing separate processing domains for finer-grained allocation of user privileges includes, for example: (i) using virtualization techniques to allow additional privileges within a virtual machine while restricting privileges to other virtual machines or to the underlying actual machine, (ii) employing hardware and/or software domain separation mechanisms, and (iii) implementing separate physical domains.;AC-4,SC-3,SC-30,SC-32
ACCESS CONTROL;AC-6 (5);PRIVILEGED ACCOUNTS;P1;MODERATE,HIGH;The organization restricts privileged accounts on the information system to [Assignment: organization-defined personnel or roles].;Privileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from having access to privileged information/functions. Organizations may differentiate in the application of this control enhancement between allowed privileges for local accounts and for domain accounts provided organizations retain the ability to control information system configurations for key security parameters and as otherwise necessary to sufficiently mitigate risk.;CM-6
ACCESS CONTROL;AC-6 (6);PRIVILEGED ACCESS BY NON-ORGANIZATIONAL USERS;P1;MODERATE,HIGH;The organization prohibits privileged access to the information system by non-organizational users.;NaN;IA-8
ACCESS CONTROL;AC-6 (7);REVIEW OF USER PRIVILEGES;P1;MODERATE,HIGH;The organization: Reviews [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges, and Reassigns or removes privileges, if necessary, to correctly reflect organizational mission/business needs.;The need for certain assigned user privileges may change over time reflecting changes in organizational missions/business function, environments of operation, technologies, or threat. Periodic review of assigned user privileges is necessary to determine if the rationale for assigning such privileges remains valid. If the need cannot be revalidated, organizations take appropriate corrective actions.;CA-7
ACCESS CONTROL;AC-6 (8);PRIVILEGE LEVELS FOR CODE EXECUTION;P1;MODERATE,HIGH;The information system prevents [Assignment: organization-defined software] from executing at higher privilege levels than users executing the software.;NaN;NaN
ACCESS CONTROL;AC-6 (9);AUDITING USE OF PRIVILEGED FUNCTIONS;P1;MODERATE,HIGH;The information system audits the execution of privileged functions.;Misuse of privileged functions, either intentionally or unintentionally by authorized users, or by unauthorized external entities that have compromised information system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Auditing the use of privileged functions is one way to detect such misuse, and in doing so, help mitigate the risk from insider threats and the advanced persistent threat (APT).;AU-2
ACCESS CONTROL;AC-6 (10);PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS;P1;MODERATE,HIGH;The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.;NaN;NaN
ACCESS CONTROL;AC-7;UNSUCCESSFUL LOGON ATTEMPTS;P1;LOW,MODERATE,HIGH;The information system: Enforces a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period], and Automatically [Selection: locks the account/node for an [Assignment: organization-defined time period], locks the account/node until released by an administrator, delays next logon prompt according to [Assignment: organization-defined delay algorithm]] when the maximum number of unsuccessful attempts is exceeded.;This control applies regardless of whether the logon occurs via a local or network connection. Due to the potential for denial of service, automatic lockouts initiated by information systems are usually temporary and automatically release after a predetermined time period established by organizations. If a delay algorithm is selected, organizations may choose to employ different algorithms for different information system components based on the capabilities of those components. Responses to unsuccessful logon attempts may be implemented at both the operating system and the application levels.;AC-2,AC-9,AC-14,IA-5
ACCESS CONTROL;AC-7 (1);AUTOMATIC ACCOUNT LOCK;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into AC-7].;NaN;NaN
