ID;H;A;N;Runtime;Designtime;Operational;Compliance;Assessment
A.17.1.2;0;0;0;10;23;25;31;NC
A.17.1.3;24.87;0;0;10;23;25;31;NC
A.17.2.1;0;0;0;10;23;25;31;PC
A.18.1.1;0;0;0;10;23;25;31;PC
A.18.1.2;0;0;0;10;23;25;31;PC
A.18.1.3;0;0;0;10;23;25;31;PC
A.18.1.4;0;0;0;10;23;25;31;C
A.18.1.5;0;0;0;10;23;25;31;C
A.18.2.1;0;0;0;10;23;25;31;C
A.18.2.2;0;0;0;10;23;25;31;C
A.18.2.3;0;0;0;10;23;25;31;C
